pgeom	statmean	pval	qval	setsize	exp1
GO0045202 synapse	0.00386173147659988	-2.77215991505868	0.00386173147659989	0.142521599512889	28	0.00386173147659988
GO0098794 postsynapse	0.00678147294067283	-2.71757114129894	0.00678147294067284	0.142521599512889	11	0.00678147294067283
GO0030054 cell junction	0.00926971772527152	-2.40345034993795	0.00926971772527151	0.142521599512889	42	0.00926971772527152
GO0036477 somatodendritic compartment	0.0103749032797063	-2.46746902720623	0.0103749032797064	0.142521599512889	14	0.0103749032797063
GO0032279 asymmetric synapse	0.0107523154262338	-2.52951263687952	0.0107523154262338	0.142521599512889	10	0.0107523154262338
GO0098984 neuron to neuron synapse	0.0107523154262338	-2.52951263687952	0.0107523154262338	0.142521599512889	10	0.0107523154262338
GO0043005 neuron projection	0.0121870706731369	-2.34679644096432	0.0121870706731369	0.142521599512889	20	0.0121870706731369
GO0098590 plasma membrane region	0.0131054344379668	-2.33891031032586	0.0131054344379668	0.142521599512889	16	0.0131054344379668
GO0098793 presynapse	0.022913737326504	-2.19381788890732	0.022913737326504	0.221499460822872	10	0.022913737326504
GO0042995 cell projection	0.0584245407222721	-1.58779024906324	0.0584245407222722	0.508293504283768	36	0.0584245407222721
GO0120025 plasma membrane bounded cell projection	0.0911887518656048	-1.34810764413609	0.0911887518656048	0.721220128391601	33	0.0911887518656047
GO0048471 perinuclear region of cytoplasm	0.123818553354302	-1.19834452781168	0.123818553354302	0.769634756370509	11	0.123818553354302
GO0012506 vesicle membrane	0.12605390229693	-1.1639355738752	0.12605390229693	0.769634756370509	19	0.12605390229693
GO0030659 cytoplasmic vesicle membrane	0.12605390229693	-1.1639355738752	0.12605390229693	0.769634756370509	19	0.12605390229693
GO0031090 organelle membrane	0.148205533689037	-1.04884054185453	0.148205533689037	0.769634756370509	61	0.148205533689037
GO0071944 cell periphery	0.154158693889009	-1.02267704414049	0.154158693889009	0.769634756370509	71	0.154158693889009
GO0005886 plasma membrane	0.162908799630247	-0.986741255749571	0.162908799630247	0.769634756370509	63	0.162908799630247
GO0031410 cytoplasmic vesicle	0.17230023022713	-0.95238461649283	0.17230023022713	0.769634756370509	32	0.17230023022713
GO0097708 intracellular vesicle	0.17230023022713	-0.95238461649283	0.17230023022713	0.769634756370509	32	0.17230023022713
GO0099503 secretory vesicle	0.176927530200117	-0.94424467670416	0.176927530200117	0.769634756370509	15	0.176927530200117
GO0000323 lytic vacuole	0.236709714471513	-0.730100338054488	0.236709714471513	0.848679793345712	13	0.236709714471513
GO0005764 lysosome	0.236709714471513	-0.730100338054488	0.236709714471513	0.848679793345712	13	0.236709714471513
GO0005773 vacuole	0.236709714471513	-0.730100338054488	0.236709714471513	0.848679793345712	13	0.236709714471513
GO0098796 membrane protein complex	0.240427008462217	-0.71195357360211	0.240427008462217	0.848679793345712	20	0.240427008462217
GO0098588 bounding membrane of organelle	0.243873503834975	-0.697562419878376	0.243873503834975	0.848679793345712	38	0.243873503834975
GO0016020 membrane	0.260056566370691	-0.644035667396596	0.260056566370691	0.870189279778851	133	0.260056566370691
GO0019866 organelle inner membrane	0.284983415347811	-0.578092813073293	0.284983415347811	0.918279893898503	11	0.284983415347811
GO0005743 mitochondrial inner membrane	0.308100286875763	-0.510333201726073	0.308100286875763	0.957311605649691	10	0.308100286875763
GO0070161 anchoring junction	0.339413009857115	-0.418463093292031	0.339413009857115	0.984385425973386	15	0.339413009857115
GO0030141 secretory granule	0.35515105006352	-0.377112790210377	0.35515105006352	0.984385425973386	11	0.35515105006352
GO0005737 cytoplasm	0.392938712937095	-0.271874711268241	0.392938712937095	0.984385425973386	179	0.392938712937095
GO0005768 endosome	0.45508932431739	-0.113965078708262	0.45508932431739	0.984385425973386	14	0.45508932431739
GO0000139 Golgi membrane	0.521886139481121	0.0555469100261739	0.521886139481121	0.984385425973386	12	0.521886139481121
